par_id	art_id	keyword	country_code	text	label	class	text_len	text_len_binned
19	@@21929081	disabled	gh	she said sinc total intellectu disabl peopl ghana offer special train enhanc integr societi	0	0	155	(100, 200]
20	@@1850827	immigrant	tz	in short reason behind oper look reason the problem howev implement side much behind talk success ground thousand illeg immigr left voluntarili countri origin other also repatri leav countri given circumst option	0	0	407	(400, 500]
21	@@4694770	immigrant	jm	sisi lawyer grisel ybarra said cuban commun edg amid ongo negoti washington havana uncertainti renew relat mean immigr	0	0	204	(200, 300]
22	@@395048	vulnerable	ph	might mean vulner pain dr franci javier recent head pain manag center st luke medic center look genet compar filipino mix ancestri see differ way pain medicin broken bodi	0	0	318	(300, 400]
23	@@25154641	homeless	ca	it highlight differ commun respond issu homeless differ way kneebon said	0	0	121	(100, 200]
24	@@17221429	vulnerable	ph	the region brand far lag behind global big intern chines handset player g look vulner fail jump gener success lose place	0	0	210	(200, 300]
25	@@7069687	refugee	au	the incid deepen public doubt chancellor angela merkel decis open germani door refuge migrant whose number reach million last year	0	0	177	(100, 200]
26	@@3659219	women	za	some say review legisl sex work help protect involv servic provid men woman	0	0	133	(100, 200]
27	@@16669409	migrant	za	i think know led detain five hour oppos anoth sudanes person detain hour seventi so i think one aspect on flip side i went termin nt know background i feel know i guess point i actual want make know i think order reflect larger trend countri criminalis black peopl criminalis immigr criminalis muslim and black muslim immigr i realli concern and i think somali sudanes peopl african descent go affect know i think go treat differ frankli	0	0	790	(700, 800]
28	@@9706470	hopeless	us	thi year th juli fall monday mere hour kick back andor make absolut holiday back grind with time crunch like understand might seem hopeless never fear lifehack here tip help dive headfirst come side holiday intact	0	0	380	(300, 400]
29	@@1306759	women	ca	farooqui said woman group demand fasttrack court deal rape crime woman	0	0	113	(100, 200]
30	@@8969086	immigrant	my	i right famili book whi say i immigr order pay riel year whi nt acknowledg cambodian citizen they start earli year whi nt thing mr yang ro ask	0	0	265	(200, 300]
31	@@19025195	homeless	bd	nearli famili made homeless blaze hous hotel west london church commun centr provid meal support donat cloth toy household suppli flood	0	0	231	(200, 300]
32	@@16687353	refugee	my	cardin tagl visit refuge settlement part role carita presid said ask peopl express reserv receiv refuge migrant have ever talk real refuge have heard stori real person	0	0	270	(200, 300]
33	@@8301323	disabled	pk	arshad said besid learn mani new aspect sport leadership learnt fastdevelop nation use sport tool develop effort disabl underprivileg left behind stage	1	0	244	(200, 300]
34	@@24150149	disabled	ng	fast food employe fed disabl man becom internet sensat	1	0	66	(0, 100]
35	@@7548760	migrant	za	the bloc leader ask davutoglu govern accept largescal deport econom migrant greec main entri point europ implement novemb deal slow flow peopl bloc	0	0	250	(200, 300]
36	@@20493025	homeless	ng	the foundat urg will rais fund homeless victim click link donat	1	0	123	(100, 200]
37	@@3277512	homeless	lk	a fire broke labor camp al sailiya th may left approxim sri lankan employ janitori servic compani qatar homeless they provid temporari lodg fire expatri report work circumst arrest qatar author	0	0	344	(300, 400]
38	@@19143133	hopeless	bd	rizvi there joy eid h the citizen nation becom hopeless	1	0	95	(0, 100]
39	@@24700959	homeless	ke	floodtwo week ago home farm submerg water render number famili garissa tana river homeless	0	0	130	(100, 200]
40	@@980736	immigrant	ie	some undocu peopl expect benefit polici see receiv defer action deport undocu immigr arriv us age live us five year appli relief age	0	0	313	(300, 400]
41	@@20645208	disabled	ca	justin bour led ninth nd homer first sinc sixweek stint disabl list ramo gave four singl includ twoout rbi hit pinchhitt aj elli ichiro suzuki	0	0	215	(200, 300]
42	@@4591694	hopeless	jm	vanessa feel hopeless final day increas cri help yield respons resid magistr place care state her letter convey court offici investig offic children advoc	1	0	295	(200, 300]
43	@@16948790	poor-families	in	there food given poor famili govern abl access gwauya mother sithela told thomson reuter foundat	0	0	175	(100, 200]
44	@@20860277	vulnerable	ng	comrad david kerigbo ugondo born famili late pa akerigbo adikpo wife mr pam akerigbo adikpo th day octob achagh mbaduku vandeikya local govern benu state hi th birthday would th octob a well secur nigeria gave birth nurtur comrad david year meritori servic industri union it tragic unsecur nigeria made vulner daylight gunshot sunday septemb crimin arm robber attack around birnin gwari town kaduna state may god grant victim includ armi captain infant babi etern rest paradis	1	0	692	(600, 700]
45	@@4002879	refugee	us	current left palestinian peopl noth tini territori gaza strip de facto prison palestinian refuge well scatter isol villag citi west bank	1	0	236	(200, 300]
46	@@8054332	in-need	us	orlando fla are miss someth fuzzi cute life mani cat dog fill need need good home	0	0	142	(100, 200]
47	@@7267604	in-need	nz	more trolley food donat need	0	0	55	(0, 100]
48	@@21492418	vulnerable	nz	dean life japan previous coach wallabi remain staunch kiwi ask ass whether all black vulner present gave empath respons	0	0	189	(100, 200]
49	@@23188586	immigrant	gh	the us senat muchtout freewheel immigr debat fail materi tuesday rais prospect congress presid donald trump fall short strike deal border secur legal young immigr	0	0	244	(200, 300]
50	@@22222249	disabled	ph	befor april offici definit unemploy work refer week look work howev april onward offici definit refin follow work look work avail work it subtract look avail work add avail look work follow reason tiredbeliev work avail await result job applic temporarili illdis bad weather wait rehirejob recal	0	0	578	(500, 600]
51	@@14015696	hopeless	nz	number we weird hippi live grid in fact i wager businesssavvi convent peopl fill small town nz after place young person look get hous market and etern grate economist constantli tell auckland young peopl case homeownership hopeless instead encourag look elsewher it mean le competit home live that mean buy mortgag manag mean guess yet anoth reason age well	0	0	644	(600, 700]
52	@@9925501	disabled	ca	in line modi govern mission access india empow india togeth nation polici person disabl un convent right person disabl code first time made elabor provis make build public place access million disabl elderli person the code barrierfre built environ applic form public hous govern privat builder	0	0	512	(500, 600]
53	@@15319429	women	bd	the studi state woman see sexual harass form violenc in addit anoth woman feel disparag remark insult offens	0	0	175	(100, 200]
54	@@18760930	disabled	ke	a court order oil compani pay former employe sh million sack disabl	0	0	111	(100, 200]
55	@@9305263	disabled	jm	over past year show hand million mustard seed commun assist care abandon disabl hivaidsaffect child pregnant teenag accommod home across island h advertis	1	0	292	(200, 300]
56	@@9890957	homeless	nz	peopl homeless homeless work homeless concern new zealand ask share experi solut grow issu crossparti homeless inquiri moregtgt	0	0	253	(200, 300]
57	@@925986	migrant	gb	she said it may fact immigr east european countri better educ attach labour market nativ popul	1	0	164	(100, 200]
58	@@3224696	homeless	lk	he said wit tragedi peopl nepal current experienc he went state emot time he said thousand lost life owe earthquak mani render homeless destitut	0	0	277	(200, 300]
59	@@15973393	in-need	ng	we leader mani front contin also world attain independ develop democraci maintain core pledg stabil respect rule law format muchneed peacekeep humanitarian mission nation need	0	0	355	(300, 400]
60	@@20227078	homeless	ke	life street remark realli differ home often slept hungri cold landlord lock awino therefor alway grate kind man came rescu took boma rescu center home provid temporari shelter homeless child	1	0	335	(300, 400]
61	@@16668574	poor-families	gh	mwesigwa said youth learn lesson good exampl hero contribut liber struggl the commun servic conduct cell level district rwanda last saturday morn thousand youth particip clean school make renov hous poor famili	1	0	321	(300, 400]
62	@@50048209	vulnerable	gb	i say fiftythre i nineteen twenti i vulner i know better	0	0	119	(100, 200]
63	@@18615742	migrant	gh	they told immigr worker desir return countri commun result jobless becom strand due govern polici depart peac safe without fear intimid destin point entri arriv	0	0	280	(200, 300]
64	@@13699547	migrant	ke	by agenc franc press brussel belgium aug fear mount european union monthsold pact turkey curb migrant flow could collaps rift deepen ankara crackdown follow fail coup	0	0	239	(200, 300]
65	@@15172256	homeless	ca	the homeless shelter provid secur environ sleep night noth left day even individu return night the champion centr offer lock room shelf person item store said schnee locker lock key would prefer	0	0	323	(300, 400]
66	@@9492573	migrant	pk	in januari fico state slovakia abl bear entri hundr thousand muslim migrant would construct mosqu across state would transform valu tradit countri	0	0	230	(200, 300]
67	@@2055117	poor-families	za	masemola said student poor famili lost lot money prepar trip	0	0	107	(100, 200]
68	@@3295868	vulnerable	ph	data center especi vulner philippin increas possibl fluctuat outag say santo	0	0	151	(100, 200]
69	@@3571432	refugee	au	develop countri shoulder signific burden host around world refuge compar ten year ago turkey lebanon pakistan host million refuge h verdict	0	0	220	(200, 300]
70	@@40022298	migrant	sg	itali sharpli criticis new un human right chief michel bachelet tuesday announc would send investig countri check report racism violenc migrant	0	0	205	(200, 300]
71	@@21860657	women	sg	but often shave longer inbetween day well born differ hair everyon hair grow differ right wrong answer often shave some woman everi day other privileg wait longer inbetween shave as time go slowli bodi eventu find right schedul work h i shave without water i hurri	0	0	494	(400, 500]
72	@@19441106	migrant	my	he said maximum punish impos make realis depart seriou employ illeg immigr follow suffici time given employ regist worker ecard programm expir june	0	0	285	(200, 300]
73	@@25665376	refugee	hk	mani suffer appal condit detent centr set deal influx migrant public opinion turn refuge fatigu the origin camp open allow inhabit work hong kong travel freeli opposit effect refuge languish close detent centr sometim year	0	0	378	(300, 400]
74	@@20827089	homeless	nz	in past month four major hurrican categori higher churn caribbean atlant ocean hurrican irma jose katia maria caus major damag island nation caribbean well continent north central america devast life million peopl leav hundr thousand homeless displac	0	0	376	(300, 400]
75	@@10016647	vulnerable	gb	chief inspector nicola shepherd led investig said for number year men place posit trust carri prolong abus signific number vulner young peopl	0	0	229	(200, 300]
76	@@18327302	vulnerable	za	no human go kind ordeal the secur agenc state govern continu provid special protect educ institut vulner kind outrag especi remot area said	0	0	254	(200, 300]
77	@@22454828	homeless	nz	in septemb major nottl set foot melbourn canberra plead nation solut homeless problem	1	0	129	(100, 200]
78	@@17256815	women	lk	but prabha one fortun woman lot famili support my husband parent sibl stood throughout difficult time my husband great support he would segreg medicin stapl togeth requir dosag taken time i eat medicin famili support crucial damn world if famili psycholog support amount outsid support help adher key word famili take patient complet treatment journey i psychologist yet none cope mechan work just imagin plight patient treatment literaci support said	1	0	794	(700, 800]
79	@@15019103	vulnerable	ng	he said to neutralis attract terror ideolog among youth vulner person intern commun led unit state america must support nigeria fight corrupt repatri stolen fund get econom recess quickli possibl	0	0	295	(200, 300]
80	@@20105190	poor-families	my	for sjkc chung hua sibuti maybank volunt help repaint build wall repair broken door frame school toilet donat uniform schoolchildren poor famili well four iron rack box a paper school	0	0	267	(200, 300]
81	@@18579949	refugee	ie	yet report said refuge migrant get far attent million displac insid countri conflict violenc disast	0	0	154	(100, 200]
82	@@16649916	vulnerable	pk	starbuck vulner intern consum protest trump polici signific visibl global footprint countri	0	0	160	(100, 200]
83	@@4672144	homeless	pk	the demograph pakistan india similar poverti widespread issu accord fao percent child pakistan malnourish underweight due lack access adequ food and nt enough pakistan th largest food produc countri howev percent popul food insecur with massiv incom inequ persist rha brilliant movement we collect leftov extra food restaur distribut homeless hungri local	1	0	573	(500, 600]
84	@@4608429	vulnerable	pk	nevertheless schism within ahmadiyya commun mirza muhammad ahmad unabash claim left movement vulner accus heret	0	0	171	(100, 200]
85	@@25504610	women	ie	vaila barsley play sweden eskilstuna unit repres england youth level although gone becom intern scotland woman team	0	0	178	(100, 200]
86	@@3876235	refugee	ca	the refuge stay famili cowichan bay move accommod duncan	0	0	108	(100, 200]
87	@@22011888	hopeless	my	ecolog convers call chang lifestyl thi mean true transform world must come within one u without we must choos sacrific want share greed serv common good creation conveni onli truli discipl hope seemingli hopeless situat	0	0	375	(300, 400]
88	@@4789100	in-need	ie	freeman aim open pieta hous servic queen new york irish center within month provid mental health counsel irish need within greater new york citi area they also contact irish center boston chicago dc expans	0	0	302	(300, 400]
89	@@3317664	poor-families	au	unbeliev they pit two poor famili make feel guilti help somebodi entertain	0	0	151	(100, 200]
90	@@3085929	in-need	za	skin needl safe precis way traumatis skin stimul collagen base princip it result smoother firmer younger look skin	0	0	178	(100, 200]
91	@@22447789	disabled	hk	howev year met group enthusiast disabl runner well paralymp game competitor event hong kong	0	0	131	(100, 200]
92	@@16707961	refugee	au	dure call australian pm refuge trump pull phone away ear say want call end abruptli per sourc	0	0	139	(100, 200]
93	@@1852200	in-need	tz	most african flag independ state econom oppress bondag differ coloni rule world thi modern world world midst econom depend lot peopl need help in word polit environ neocoloni rule today differ polit environ coloni time struggl independ began	0	0	450	(400, 500]
94	@@4654878	immigrant	jm	the section state the follow commonwealth citizen person deem belong island defin sub section section prohibit immigr h person inform advic opinion minist reliabl inform advic deem minist undesir inhabit visitor island	0	0	401	(400, 500]
95	@@9746788	immigrant	au	care the way societi chang upset mani peopl unfairli mock concern seemingli unrestrict immigr effort commun build object bad thing the breakdown commun validli distress peopl when obsess ident polit everybodi multipl conflict loyalti troubl peopl a strong societi one commit common valu goal ye live pluralist societi desir cultur connect run strong anglosaxon australian fresh plane immigr h socrat	0	0	673	(600, 700]
96	@@70055048	women	us	in wake sexualassault alleg suprem court nomine brett kavanaugh report began close examin time yale as undergradu member delta kappa epsilon wellknown parti frat rose nation infami video circul recruit chant no mean ye ye mean anal after graduat went clerk nowdisgrac judg alex kozinski retir last yearaft woman accus subject unwant inappropri sexual behavior year kavanaugh claim knowledg kozinski alleg misconduct skeptic find unlik	0	0	696	(600, 700]
97	@@4635069	poor-families	jm	the govern drive ensur inclus vulner group product workforc make provis particip workingag adult labour market poor famili receipt welfar assist said	0	0	274	(200, 300]
98	@@15438640	immigrant	pk	the golden state home countri largest number illeg immigr estim million offici say member commun terrifi sinc mogul pull one improb presidenti win modern histori novemb	0	0	273	(200, 300]
99	@@25281193	in-need	my	the departur london bare put dent sampp overal presenc europ main financi centr but peterson warn britain need provid clariti key postbrexit regulatori arrang ensur nt upheav	0	0	253	(200, 300]
100	@@9531208	migrant	ph	filipino seafar given inadequ attent societi despit incid abduct unjust compens onboard accid report legisl pass protect uphold right most polici program cater need migrant worker design landbas worker senat stress	0	0	386	(300, 400]
101	@@18575081	in-need	bd	accord jim gouveia licens clinic social worker counselor cap purpos gatekeep train educ peopl awar sign symptom suicid ask question have thought suicid get mental health help assist need	0	0	330	(300, 400]
102	@@20277745	refugee	za	when ask govern respond global refuge crisi half claim done includ refuge nation workforc just said refuge deport	0	0	228	(200, 300]
103	@@3525243	migrant	au	countri one largest sourc migrant arriv europ shore despit total popul smaller london adjust popul larger proport eritrean arriv syrian afghan	0	0	237	(200, 300]
104	@@14849953	refugee	nz	dr nina zimmerman contract unit nation visit nauru april gaug level mental disord within thousand refuge maroon	0	0	163	(100, 200]
105	@@4678368	hopeless	pk	satisfact lie permit other live live other life never tri clutch someon els share alway reproduc complexion gore peopl swallow helpless hopeless still sob due plea conscienc i grasp wipe tear reason caus	1	0	335	(300, 400]
106	@@19981947	women	za	join girl power ministri worship h prophet bongi ndimand presid girl power ministri gpm invit woman girl sixth annual confer gpm held sasol kinross club august	0	0	244	(200, 300]
107	@@16900972	homeless	ke	hi present chamber may quit humbl shiyani tini space neatli organ clean mani peopl pa manag see space partial hidden behind tree give rel privaci there mani homeless sleep around station captain xoli mbele nearbi johannesburg central polic station said	1	0	400	(300, 400]
108	@@4656992	vulnerable	jm	it identifi barrier reproduct health right state adolesc particularli vulner lack inform access relev servic countri	0	0	206	(200, 300]
109	@@17322530	immigrant	in	right one immigr admit countri everi year come base criterion the presid said public told u yesterday want move direct instanc canada australia focus call meritbas system our legisl first step said	0	0	384	(300, 400]
110	@@4846254	immigrant	us	mani worker immigr nt speak english littl formal educ	0	0	94	(0, 100]
111	@@7849643	in-need	nz	aussi blogger constanc hall rais help queen help kenyan girl need	1	0	122	(100, 200]
112	@@25160721	homeless	sg	she turn modest home safe vulner especi elderli find homeless live street	1	0	149	(100, 200]
113	@@17683925	vulnerable	pk	islamabad pakistan rank seventh vulner countri despit le one per cent contribut climat alter global emiss call climat chang law enact pakistan climat chang act like mani other humbl student law polit scienc chemicalenvironment engin i consid meaning legisl climat chang	0	0	453	(400, 500]
114	@@25687572	migrant	za	on june aquariu ship carri refuge rescu mediterranean refus right dock itali thi part wholesal attack launch salvini humanitarian rescu ship oper ngo sinc ngo ship refus entri in shock move clear violat intern nation law italian coast guard unwil interven call help rescu immigr refuge risk drown libyan water	0	0	516	(500, 600]
115	@@22756125	in-need	sg	mr tan note psa perform reason well challeng backdrop tough competit in addit also prepar futur logist suppli chain need transform new technolog trade manufactur ecommerc dynam said	0	0	298	(200, 300]
116	@@24205211	poor-families	sg	sister yosephina said human traffick exploit poor famili rural area trick think send daughter better job better life	0	0	182	(100, 200]
117	@@21706143	immigrant	ke	the pioneer shona immigr though recogn kenya found father never grant citizenship situat continu date	0	0	154	(100, 200]
118	@@24885862	in-need	za	thi rhetor anthropologist laura agust n call rescu industri term use describ peopl institut conceptu sex worker victim need save catherin mackinnon argu exampl prostitut woman sex men would never otherwis sex	1	0	348	(300, 400]
119	@@23479041	homeless	au	the bill reveal much librari open public welcom homeless peopl cope crisi librari worker town citi across new york describ find use syrinx glassin envelop doorway patron slump bathroom	0	0	294	(200, 300]
120	@@17633092	migrant	ng	though criticis liber antiimmigr nationalist stanc navalni tap discont among young urban middl class fieri speech westernstyl campaign	0	0	200	(100, 200]
121	@@9472338	refugee	lk	the old card bring lot problem hope new one enhanc secur featur help manag refuge countri said	0	0	181	(100, 200]
122	@@7348632	refugee	au	kate julian one melbourn promin coupl work law art refuge advocaci they launch spare room refuge welcom seven asylum seeker home extend period the coupl work hard caus year it demand lot time say julian without kate continu enthusiasm idea would possibl keep julian say chang life huge i would say one big big turn point exist	0	0	591	(500, 600]
123	@@20841654	women	nz	could woman understand like other valu appear beyond anyth els might realis without appear brand icon statu clout for proof googl evangelista quickli hunt paparazzo week cruel way describ headlin	0	0	399	(300, 400]
124	@@2599892	immigrant	hk	the rule judg releas thursday said wouldb immigr right forc govern fulfil promis investor immigr program cancel februari despit around applic outstand	0	0	266	(200, 300]
125	@@21983572	immigrant	my	mani brought stori horrif abus hand myanmar militari local buddhist mob includ rape arson murder myanmar regard illeg immigr bangladesh refus citizenship	0	0	233	(200, 300]
126	@@7205684	poor-families	nz	the chang implement april increas in work tax credit part wff per week when work insecur hour irregular poor famili may meet condit access import weekli payment child those benefit likewis qualifi to make seriou costeffect inroad child poverti cpag urg govern extend tax credit low incom famili	0	0	448	(400, 500]
127	@@24638267	in-need	za	cook go hold ankl need treatment	0	0	62	(0, 100]
128	@@9921472	immigrant	ie	bouhlel certainli match classic profil french violent islam extremist mani way though rel recent arriv rather born countri immigr parent usual case	0	0	222	(200, 300]
129	@@8473878	women	pk	the bill propos may face obstruct punjab assembl accord punjab govern bill comprehens bring sever previous ignor offenc within ambit cover domest violenc emot econom psycholog abus cyber crime stalk abet offend unlik previou law introduc ingeni implement mechan it propos set hour womenrun district violenceagainstwomen centr the centr requir servic includ first aid polic report fir lodg prosecut medic examin forens posttrauma rehabilit one roof access woman a tollfre helplin set woman could call assist legal advic prompt evid collect immedi protect	0	0	878	(800, 900]
130	@@7477982	hopeless	za	the hotlin provid free telephon counsel everi day year peopl feel desper helpless hopeless feel like commit suicid	0	0	160	(100, 200]
131	@@1277016	immigrant	ph	nanci ching daughter immigr taiwan open school student year south korea first move us column china column today	0	0	200	(100, 200]
132	@@15483547	in-need	ng	the legisl concern divers shsbillion conting fund parliamentari commiss yet govern could offer enough food relief area need includ district isingiro rakai karamoja region	1	0	251	(200, 300]
133	@@22432311	in-need	in	sawang said all outreach initi vruddha mitra mahila mitra bala mitra focu protect chang mindset weaker section societi i happi say percept chang among polic offic choos respond posit woman elderli child need safeti secur	0	0	367	(300, 400]
134	@@17361342	homeless	hk	soco ng say govern ceas fund homeless peopl shelter six month no matter institut would pay sleeper pocket ask ng therefor leav	0	0	254	(200, 300]
135	@@9506461	homeless	pk	the student report homeless said often couchsurf slept car tent park lot railway station the studi first survey countri said systemwid commit need remedi situat csu campu develop program support need displac food insecur student report said howev greater understand student popul experi access utilis exist servic rate retent need elizabeth chapin spokeswoman csu said studi would continu anoth two year ass widespread issu homeless hunger among student come intervent program assist ensur graduat	0	0	824	(800, 900]
136	@@251852	vulnerable	au	simon frazer mr brunton say societi first known societi promot christian knowledg benevol found respons vulner economi percept mani poor nt deserv help	0	0	226	(200, 300]
137	@@26237048	refugee	sg	with repatri plan tatter fund evapor million refuge evergrow need rohingya muslim fled myanmar bangladesh face grim futur one year latest erupt decadesold conflict	1	0	238	(200, 300]
138	@@4163910	vulnerable	ca	the sentenc i impos today must speak woman particularli young woman impress upon necess import seek assist other order cope safe physiolog emot chang associ pregnanc childbirth vulner	0	0	321	(300, 400]
139	@@23936096	migrant	lk	the propos approv offic manag budget omb would requir immigr nonimmigr visa applic list social medium ident use past five year	0	0	214	(200, 300]
140	@@24550081	hopeless	sg	it bit chaotic week stress situat it one hopeless helpless outlook it hard explain lava right behind hous pretti surreal leilani estat homeown jare mcmanu told reuter	0	0	265	(200, 300]
141	@@7204213	immigrant	ie	obama plan offer year total stalem republicanl congress would shield million undocu immigr current resid us immigr includ mani undocu irish live today	0	0	257	(200, 300]
142	@@434994	hopeless	au	i wish i piec hand week ago defend govt handl gst the labor govt hopelessli inept sell albeit fight mostli hostil press the current govt get recognit achiev somehow manag get blame tradi fall roof also continu pain mani citizen say tough clearli actual pretti well it bit like miner becom use super profit complain profit fall back reason level	0	0	596	(500, 600]
143	@@4603373	disabled	jm	the small busi develop fund also particular mandat special consider disabl person	0	0	116	(100, 200]
144	@@15566322	vulnerable	hk	thi alarm fact given compani run specif busi issu like unfulfil client payment liabil past month note hamann oper basic mandat level insur leaf sme vulner suscept risk brought specif equal common busi issu	0	0	362	(300, 400]
145	@@20177522	immigrant	us	dalla one two dozen citi establish offic assist immigr accord univers southern california center studi immigr integr nonprofit welcom america mani citi counti initi focu immigr	0	0	307	(300, 400]
146	@@21486090	poor-families	ke	thi creat prospect poor famili forc pay pocket extra visit health facil	0	0	127	(100, 200]
147	@@24550411	hopeless	ke	ye almost everi villag version hopeless drunk countless tale lot lost caus thi howev stori everi kenyan partak alcohol snarl tipsi elvi bang tabl emphasi	0	0	264	(200, 300]
148	@@24847334	homeless	au	it seem st kilda cater three entiti tourist homelessdisplac council receiv rate the peopl st kilda cater u resid	0	0	200	(100, 200]
149	@@1387882	disabled	us	krueger recent har creativ selfpublish book featur poem artwork photographi short stori ill disabl artist around world she hope book contain work well show talent disabl peopl	1	0	296	(200, 300]
150	@@22143598	vulnerable	ng	while recognis countri affect effect climat chang one planet vulner summit seek tangibl collect action reduc greenhous ga emiss	0	0	223	(200, 300]
151	@@19974860	poor-families	in	parent child die must get compens free medicin must provid poor famili across up ram gopal yadav	1	0	138	(100, 200]
152	@@18323373	hopeless	jm	desper fear dismal futur fill difficulti suffer amplifi aggress heartless tendenc it final come rest societi perceiv collect faceless nameless heartless careless have continu exploit marginalis despis sentenc life hopeless	1	0	378	(300, 400]
153	@@23735397	in-need	gb	we got see god war last week preview pop across major site i found mostli think god war chang past decad badli need fresh perspect at minimum reboot provid as oldschool fan god war i will put asid cynic attempt ape soni current triplea darl give fair shake	0	0	457	(400, 500]
154	@@20663936	disabled	ng	when peopl feel caus problem other break home steal nt good result beg you see peopl without deform beg peopl disabl work feed mouth you ask type countri nigeria even man letter would choru maxim two wrong nt make right the countri nt work peopl want surviv anyhow they eat say	1	0	496	(400, 500]
155	@@4755947	homeless	us	nona ogara supervisor center said resid we tell never homeless alway home	1	0	182	(100, 200]
156	@@30100020	homeless	gh	daheley also keen highlight figur like fiona stewart age singl mum live homeless shelter run green man festiv	0	0	171	(100, 200]
157	@@21712008	poor-families	ca	we alarm learn recent circul propos would eviscer lifelin program leav mani vulner peopl countri without access afford commun as well awar lifelin program provid modest monthli subsidi connect lowincom american phone internet servic as broadband price continu soar afford continu suffer adopt gap remain the lifelin program proven critic poor famili peopl color caught wrong side digit divid	1	0	601	(600, 700]
158	@@3585170	immigrant	gb	the land immigr enshrin freedom religion constitut yet spent much histori despis harass marginalis cathol	0	0	154	(100, 200]
159	@@24825067	migrant	my	chancellor angela merkel face strong critic german open border million migrant last year want inclus multiethn germani she long stress islam part germani call toler	0	0	279	(200, 300]
160	@@4612693	women	my	yet hollywood film portray older woman desir remain spars meryl streep one preciou still allow play romant lead meanwhil exclud one notabl way older actress make onto screen play charact dementia judi dench iri juli christi away from her streep the iron ladi emmanuel riva amour	0	0	455	(400, 500]
161	@@20414278	hopeless	pk	guterr cite longstand histori discrimin hopeless extrem poverti rohingya warn possibl ethnic cleans	1	0	162	(100, 200]
162	@@19284346	refugee	ng	it host refuge countri africa continu keep border open flee conflict persecut	1	0	140	(100, 200]
163	@@1955418	women	ke	these blanket swoop though effect further mandat polic prevent respond prosecut crime relat vice result arrest detent innoc youth woman ordinari citizen go daili chore say	0	0	306	(300, 400]
164	@@19991019	in-need	ca	we look build three four year ago need excess repair said mcissac financi municip could nt	0	0	184	(100, 200]
