par_id,art_id,text,keyword,country_code,span_start,span_finish,span_text,pcl_category,number_of_annotators
9518,@@4521109,"Bond went out of his way to help the less fortunate , often going on the road with Kim to take food to the homeless .",homeless,jm,33,52,the less fortunate,Compassion,2
1847,@@416767,"TREVOR HAGAN/WINNIPEG FREE PRESS John Donovan , northern region director of the Addictions Foundation of Manitoba : ? Many of them are feeling pretty hopeless. ?",hopeless,ca,143,159,pretty hopeless,Compassion,2
5252,@@16569964,"Xi made the remarks during a tour of the city of Zhangjiakou in northern China 's Hebei Province , where he inspected an impoverished village , visiting and chatting with poor families , discussing how they could shake off poverty .",poor-families,gh,121,142,impoverished village,Compassion,1
5252,@@16569964,"Xi made the remarks during a tour of the city of Zhangjiakou in northern China 's Hebei Province , where he inspected an impoverished village , visiting and chatting with poor families , discussing how they could shake off poverty .",poor-families,gh,213,231,shake off poverty,Metaphors,1
8839,@@4675022,""""""" A vagrant even told me that he did not want to return to the streets ever again because of my movie . I mean , how much money can you pay to get a homeless person back on the right track ? """"""",homeless,my,165,189,back on the right track,Metaphors,2
8839,@@4675022,""""""" A vagrant even told me that he did not want to return to the streets ever again because of my movie . I mean , how much money can you pay to get a homeless person back on the right track ? """"""",homeless,my,49,71,return to the streets,Metaphors,1
6681,@@19065409,"Watching poor families in England writhe in pain over this deep wound , we , as residents of this former slave plantation island , can commiserate with their distress .",poor-families,jm,34,70,writhe in pain over this deep wound,Compassion,2
6681,@@19065409,"Watching poor families in England writhe in pain over this deep wound , we , as residents of this former slave plantation island , can commiserate with their distress .",poor-families,jm,59,70,deep wound,Metaphors,1
6681,@@19065409,"Watching poor families in England writhe in pain over this deep wound , we , as residents of this former slave plantation island , can commiserate with their distress .",poor-families,jm,135,167,commiserate with their distress,Compassion,1
6995,@@20623010,"Many celebrities wore blue ribbons to support the American Civil Liberties Union , which is seeking to shed light on the plight of young immigrants facing the potential of being deported .",immigrant,ph,100,114,to shed light,Metaphors,1
6995,@@20623010,"Many celebrities wore blue ribbons to support the American Civil Liberties Union , which is seeking to shed light on the plight of young immigrants facing the potential of being deported .",immigrant,ph,103,187,shed light on the plight of young immigrants facing the potential of being deported,Compassion,1
9435,@@4534702,"While some said they were just out to hang out with their friends of like persuasion , this was no social gathering for others ; it was a place of work . For some of these male prostitutes , the ' clients ' they picked up on this corner were their only means of survival , and the streets , in some cases , a home for the homeless among them .",homeless,jm,242,271,their only means of survival,Compassion,2
9435,@@4534702,"While some said they were just out to hang out with their friends of like persuasion , this was no social gathering for others ; it was a place of work . For some of these male prostitutes , the ' clients ' they picked up on this corner were their only means of survival , and the streets , in some cases , a home for the homeless among them .",homeless,jm,87,152,this was no social gathering for others ; it was a place of work,Compassion,1
9435,@@4534702,"While some said they were just out to hang out with their friends of like persuasion , this was no social gathering for others ; it was a place of work . For some of these male prostitutes , the ' clients ' they picked up on this corner were their only means of survival , and the streets , in some cases , a home for the homeless among them .",homeless,jm,277,342,"the streets , in some cases , a home for the homeless among them",Compassion,2
107,@@16900972,"""His present """" chambers """" may be quite humble , but Shiyani has the tiny space very neatly organized and clean . Many people pass him by but do not manage to see him , because the space is partially hidden behind trees , which gives him a relative privacy . """" There are many homeless sleeping around the station , """" Captain Xoli Mbele , from the nearby Johannesburg Central Police station said .""",homeless,ke,0,110,"""His present """" chambers """" may be quite humble , but Shiyani has the tiny space very neatly organized and clean""",The_poorer_the_merrier,2
107,@@16900972,"""His present """" chambers """" may be quite humble , but Shiyani has the tiny space very neatly organized and clean . Many people pass him by but do not manage to see him , because the space is partially hidden behind trees , which gives him a relative privacy . """" There are many homeless sleeping around the station , """" Captain Xoli Mbele , from the nearby Johannesburg Central Police station said .""",homeless,ke,112,255,"Many people pass him by but do not manage to see him , because the space is partially hidden behind trees , which gives him a relative privacy",The_poorer_the_merrier,1
7443,@@22493995,She urged members of the public to always be willing stretch a hand of support to persons in need within the society .,in-need,ng,53,79,stretch a hand of support,Metaphors,1
6699,@@4557972,He said their efforts should not stop only at creating many graduates but also extended to students from poor families so that they could break away from the cycle of poverty .,poor-families,my,138,175,break away from the cycle of poverty,Metaphors,1
6699,@@4557972,He said their efforts should not stop only at creating many graduates but also extended to students from poor families so that they could break away from the cycle of poverty .,poor-families,my,138,175,break away from the cycle of poverty,Compassion,1
6821,@@2718131,"That is the big picture , the one conveyed in official reports and government documents . But for the people who live on the ground in the province , it does not begin to portray the hopelessness , the everyday obstacles , the decay .",hopeless,za,179,233,"the hopelessness , the everyday obstacles , the decay",Compassion,2
6309,@@40012464,"Some years later the daughter 's marriage broke up . She had two children by then and needed money urgently . The father dipped into his savings and was eventually compelled to move into this home . His daughter has put in the papers for him to join her in Australia and he is hopeful of joining her soon . That day for him will be a joyful escape from the surrounding air of defeat , dejection and hopelessness .",hopeless,lk,332,348,a joyful escape,Metaphors,1
6309,@@40012464,"Some years later the daughter 's marriage broke up . She had two children by then and needed money urgently . The father dipped into his savings and was eventually compelled to move into this home . His daughter has put in the papers for him to join her in Australia and he is hopeful of joining her soon . That day for him will be a joyful escape from the surrounding air of defeat , dejection and hopelessness .",hopeless,lk,307,412,"That day for him will be a joyful escape from the surrounding air of defeat , dejection and hopelessness",Compassion,2
6309,@@40012464,"Some years later the daughter 's marriage broke up . She had two children by then and needed money urgently . The father dipped into his savings and was eventually compelled to move into this home . His daughter has put in the papers for him to join her in Australia and he is hopeful of joining her soon . That day for him will be a joyful escape from the surrounding air of defeat , dejection and hopelessness .",hopeless,lk,353,412,"the surrounding air of defeat , dejection and hopelessness",Metaphors,1
2610,@@21225361,"""Nearly 15,000 West African teenagers leave their homes every year to play football in Europe . Few make good on their dreams . Some are lured by corrupt """" agents """" , smuggled across the searing Sahara and discarded in the streets of Europe , resigned to selling fake designer bags as undocumented immigrants . Others are nabbed by academies and feeder teams affiliated with European clubs and often dumped like bad stocks .""",immigrant,gh,127,308,"""Some are lured by corrupt """" agents """" , smuggled across the searing Sahara and discarded in the streets of Europe , resigned to selling fake designer bags as undocumented immigrants""",Compassion,2
2610,@@21225361,"""Nearly 15,000 West African teenagers leave their homes every year to play football in Europe . Few make good on their dreams . Some are lured by corrupt """" agents """" , smuggled across the searing Sahara and discarded in the streets of Europe , resigned to selling fake designer bags as undocumented immigrants . Others are nabbed by academies and feeder teams affiliated with European clubs and often dumped like bad stocks .""",immigrant,gh,399,422,dumped like bad stocks,Compassion,2
2610,@@21225361,"""Nearly 15,000 West African teenagers leave their homes every year to play football in Europe . Few make good on their dreams . Some are lured by corrupt """" agents """" , smuggled across the searing Sahara and discarded in the streets of Europe , resigned to selling fake designer bags as undocumented immigrants . Others are nabbed by academies and feeder teams affiliated with European clubs and often dumped like bad stocks .""",immigrant,gh,399,422,dumped like bad stocks,Metaphors,1
7959,@@22177675,"President Akufo-Addo noted that despite democracy gaining roots on the Continent , and the positive economic strides , there were justifiably pressing demands to address issues of widespread unemployment and the sense of hopelessness in the future , that compels large numbers of Africa 's youth to travel across the Sahara Desert and traverse perilous oceans in search of a better life in the developed world .",hopeless,gh,208,248,the sense of hopelessness in the future,Compassion,1
7959,@@22177675,"President Akufo-Addo noted that despite democracy gaining roots on the Continent , and the positive economic strides , there were justifiably pressing demands to address issues of widespread unemployment and the sense of hopelessness in the future , that compels large numbers of Africa 's youth to travel across the Sahara Desert and traverse perilous oceans in search of a better life in the developed world .",hopeless,gh,296,410,to travel across the Sahara Desert and traverse perilous oceans in search of a better life in the developed world,Compassion,2
1477,@@8459084,"Haiti has legal protections for the disabled on paper , but the laws are poorly implemented . Disabled Haitians have few opportunities to work and too many youngsters with disabilities languish out of sight at home instead of going to school . Some impoverished parents abandon disabled kids outside state institutions or farm them out as domestic servants .",disabled,ph,185,215,languish out of sight at home,Compassion,1
1477,@@8459084,"Haiti has legal protections for the disabled on paper , but the laws are poorly implemented . Disabled Haitians have few opportunities to work and too many youngsters with disabilities languish out of sight at home instead of going to school . Some impoverished parents abandon disabled kids outside state institutions or farm them out as domestic servants .",disabled,ph,147,242,too many youngsters with disabilities languish out of sight at home instead of going to school,Compassion,1
1477,@@8459084,"Haiti has legal protections for the disabled on paper , but the laws are poorly implemented . Disabled Haitians have few opportunities to work and too many youngsters with disabilities languish out of sight at home instead of going to school . Some impoverished parents abandon disabled kids outside state institutions or farm them out as domestic servants .",disabled,ph,244,357,Some impoverished parents abandon disabled kids outside state institutions or farm them out as domestic servants,Compassion,2
7726,@@4749950,"""In Dublin , the Church of Ireland Archbishop Dr Michael Jackson reflected on the year drawing to a close and recalled the """" horrific conflagration at the halting site in Carrickmines """" and the death of Garda Tony Golden in Omeath , as well as the """" refugees fleeing from Syria """" and other parts of the Middle East and the """" forgotten peoples of Africa """" .""",refugee,ie,318,354,"""the """" forgotten peoples of Africa """"""",Compassion,2
7726,@@4749950,"""In Dublin , the Church of Ireland Archbishop Dr Michael Jackson reflected on the year drawing to a close and recalled the """" horrific conflagration at the halting site in Carrickmines """" and the death of Garda Tony Golden in Omeath , as well as the """" refugees fleeing from Syria """" and other parts of the Middle East and the """" forgotten peoples of Africa """" .""",refugee,ie,109,352,"""recalled the """" horrific conflagration at the halting site in Carrickmines """" and the death of Garda Tony Golden in Omeath , as well as the """" refugees fleeing from Syria """" and other parts of the Middle East and the """" forgotten peoples of Africa""",Compassion,1
4303,@@3750373,"PIC : James McClean delivers on his incredibly classy promise to young disabled girl <h> James McClean may be one of the most controversial figures in the Premier League but , when push comes to shove , his heart is always in the right place for those in need .",in-need,ie,203,242,his heart is always in the right place,Metaphors,2
4303,@@3750373,"PIC : James McClean delivers on his incredibly classy promise to young disabled girl <h> James McClean may be one of the most controversial figures in the Premier League but , when push comes to shove , his heart is always in the right place for those in need .",in-need,ie,36,85,incredibly classy promise to young disabled girl,Compassion,1
2196,@@3153206,""""""" It 's the largest humanitarian tragedy of our time , """" Ninette Kelley , the UN high commissioner for refugees ' representative to Lebanon , told the Guardian earlier this month in an interview . """" We do not want the world to forget that people are suffering here . """"""",refugee,gb,239,265,people are suffering here,Compassion,2
5816,@@8461823,""""""" I have a lot of sympathy for folks who are in need in the city , """" Mr Edmonds-Waters said . """" This has become an extremely expensive city to live in . The divide between those who have and those who do n't is ridiculously ginormous . """"""",in-need,sg,153,234,The divide between those who have and those who do n't is ridiculously ginormous,Compassion,1
4560,@@25759113,"Hundreds of thousand Africans are graduating per year . Different from 1980s and early 1990s when college outpours got immediately absorbed in the labour market , many today are jobless and hopeless .",hopeless,tz,163,199,many today are jobless and hopeless,Compassion,2
10007,@@15340662,"It is seen in recurring violence and continuing degradation of women through stone-age practices such as FGM . It is seen in the thousands of Africans risking death in the seas to escape the hopelessness in their countries . It is seen in the ' cult of the Green Card , ' which I define as a maniacal ambition to live in America or Europe .",hopeless,ke,129,223,thousands of Africans risking death in the seas to escape the hopelessness in their countries,Compassion,2
6428,@@1937800,"Kenyans are known to have big hearts . Hearts so big that they give generously when it comes those in need . Despite all our differences , we unite to help the sick , fight for justice or feed those in drought or war-stricken areas .",in-need,ke,39,53,Hearts so big,Metaphors,1
6428,@@1937800,"Kenyans are known to have big hearts . Hearts so big that they give generously when it comes those in need . Despite all our differences , we unite to help the sick , fight for justice or feed those in drought or war-stricken areas .",in-need,ke,151,232,"help the sick , fight for justice or feed those in drought or war-stricken areas",Compassion,1
10468,@@16753236,""""""" Anja Ringgren Loven I ca n't find a word to describe how I feel for you .... May God almighty keep blessing you and always give you strength and sound health to continue your good work ..... You gave hope to the hopeless ! ! ! ! Have so much respect for you .. Stay Blessed my good fellow ... """" says one commenter on Facebook . """" God bless you and your mission . Glad to see Hope ( and all the children ) growing up loved , well fed , happy , having fun , and going to school , """" says another .""",hopeless,in,193,223,You gave hope to the hopeless,Compassion,2
9980,@@16259235,"From mother ( played by Bollywood actress Seema Biswas of Bandit Queen fame ) who rejected him and a society that offered no respite , Siva was , in a nutshell , a hopeless street vagabond .",hopeless,sg,162,189,a hopeless street vagabond,Compassion,2
9980,@@16259235,"From mother ( played by Bollywood actress Seema Biswas of Bandit Queen fame ) who rejected him and a society that offered no respite , Siva was , in a nutshell , a hopeless street vagabond .",hopeless,sg,0,133,From mother ( played by Bollywood actress Seema Biswas of Bandit Queen fame ) who rejected him and a society that offered no respite,Compassion,1
7004,@@4613365,"We have the opportunity to give the gift of love , to shine a light in the darkness of despair , to share with others who are in need , to comfort those who are sad or lonely .",in-need,jm,51,95,to shine a light in the darkness of despair,Metaphors,2
7004,@@4613365,"We have the opportunity to give the gift of love , to shine a light in the darkness of despair , to share with others who are in need , to comfort those who are sad or lonely .",in-need,jm,71,95,the darkness of despair,Compassion,1
7004,@@4613365,"We have the opportunity to give the gift of love , to shine a light in the darkness of despair , to share with others who are in need , to comfort those who are sad or lonely .",in-need,jm,24,49,to give the gift of love,Metaphors,2
7004,@@4613365,"We have the opportunity to give the gift of love , to shine a light in the darkness of despair , to share with others who are in need , to comfort those who are sad or lonely .",in-need,jm,139,175,comfort those who are sad or lonely,Compassion,1
2984,@@14457280,"She said since Bangladeshs main export to the USA is apparel , this industry employs 4 million workers , of which 90 percent are girls from poor families . Their earnings have empowered them . Their contributions now provide better nutritional food , allow siblings to go to schools , and give them a respected voice at home . Their empowerment is also helping reduce poverty , control population growth and increase literacy .",poor-families,bd,299,317,a respected voice,Metaphors,1
8848,@@4820571,"""While the scale of waste is astonishing in the Western world , the plight of the poor families in the UK being """" literally """" forced to rely on food banks than those suffering in African villages and refugee camps , is a sad story . But it is a true story .""",poor-families,lk,81,154,"""poor families in the UK being """" literally """" forced to rely on food banks""",Compassion,2
8848,@@4820571,"""While the scale of waste is astonishing in the Western world , the plight of the poor families in the UK being """" literally """" forced to rely on food banks than those suffering in African villages and refugee camps , is a sad story . But it is a true story .""",poor-families,lk,159,213,those suffering in African villages and refugee camps,Compassion,2
8848,@@4820571,"""While the scale of waste is astonishing in the Western world , the plight of the poor families in the UK being """" literally """" forced to rely on food banks than those suffering in African villages and refugee camps , is a sad story . But it is a true story .""",poor-families,lk,215,230,is a sad story,Compassion,1
8385,@@50045857,"""Shelter chief executive Polly Neate said , """" It 's disgraceful that even when families are working every hour they can , they 're forced to live through homelessness . """"""",homeless,ke,45,166,"It 's disgraceful that even when families are working every hour they can , they 're forced to live through homelessness",Compassion,2
149,@@1387882,"Krueger recently harnessed that creativity to self-publish a book featuring the poems , artwork , photography and short stories of 16 ill or disabled artists from around the world . She hopes the book , which contains some of her own work as well , will show how talented disabled people can be .",disabled,us,259,295,how talented disabled people can be,The_poorer_the_merrier,2
8979,@@2526118,"The vast majority of girls and women caught in the exploitative global sex trade are not victims of kidnapping , like the Nigerian 276 abducted by Boko Haram , but rather of poverty . Human traffickers prey on poor families who do n't have access to education and are n't aware of their basic rights . Mired in grinding poverty , parents desperately take out loans on conditions they do n't understand , pledging their children on their debts .",poor-families,ca,0,182,"The vast majority of girls and women caught in the exploitative global sex trade are not victims of kidnapping , like the Nigerian 276 abducted by Boko Haram , but rather of poverty",Compassion,1
8979,@@2526118,"The vast majority of girls and women caught in the exploitative global sex trade are not victims of kidnapping , like the Nigerian 276 abducted by Boko Haram , but rather of poverty . Human traffickers prey on poor families who do n't have access to education and are n't aware of their basic rights . Mired in grinding poverty , parents desperately take out loans on conditions they do n't understand , pledging their children on their debts .",poor-families,ca,302,328,Mired in grinding poverty,Compassion,2
