par_id,art_id,keyword,country_code,text,label,class
28,@@9706470,hopeless,us,year th july fall monday mere hour kick back andor make absolute holiday back grind time crunch like understand might seem hopeless never fear lifehacker tip help dive headfirst come side holiday intact,0,0
29,@@1306759,women,ca,farooqui said woman group demanding fasttrack court deal rape crime woman,0,0
30,@@8969086,immigrant,my,right family book say immigrant order pay riel year nt acknowledge cambodian citizen started early year nt thing mr yang ro asked,0,0
31,@@19025195,homeless,bd,nearly family made homeless blaze housed hotel west london church community centre providing meal support donation clothing toy household supply flooding,0,0
33,@@8301323,disabled,pk,arshad said besides learning many new aspect sport leadership learnt fastdeveloping nation using sport tool development effort disabled underprivileged left behind stage,2,1
35,@@7548760,migrant,za,bloc leader ask davutoglu government accept largescale deportation economic migrant greece main entry point europe implement november deal slow flow people bloc,0,0
36,@@20493025,homeless,ng,foundation urged willing raise fund homeless victim click link donation,1,0
37,@@3277512,homeless,lk,fire broke labor camp al sailiya th may left approximately sri lankans employed janitorial service company qatar homeless provided temporary lodging fire expatriate report work circumstance arrested qatar authority,0,0
39,@@24700959,homeless,ke,floodtwo week ago home farm submerged water rendering number family garissa tana river homeless,0,0
40,@@980736,immigrant,ie,undocumented people expected benefit policy see receive deferred action deportation undocumented immigrant arrived u age lived u five year apply relief age,0,0
41,@@20645208,disabled,ca,justin bour led ninth nd homer first since sixweek stint disabled list ramos gave four single including twoout rbi hit pinchhitter aj elli ichiro suzuki,0,0
43,@@16948790,poor-families,in,food given poor family government able access gwauya mother sithela told thomson reuters foundation,0,0
44,@@20860277,vulnerable,ng,comrade david kerigbo ugondo born family late pa akerigbo adikpo wife mr pam akerigbo adikpo th day october achagh mbaduku vandeikya local government benue state th birthday would th october well secured nigeria gave birth nurtured comrade david year meritorious service industry unionism tragic unsecured nigeria made vulnerable daylight gunshot sunday september criminal armed robber attacked around birnin gwari town kaduna state may god grant victim included army captain infant baby eternal rest paradise,1,0
45,@@4002879,refugee,us,currently left palestinian people nothing tiny territory gaza strip de facto prison palestinian refugee well scattered isolated village city west bank,1,0
46,@@8054332,in-need,us,orlando fla missing something fuzzy cute life many cat dog fill need need good home,0,0
47,@@7267604,in-need,nz,trolley food donated need,0,0
48,@@21492418,vulnerable,nz,dean life japan previously coached wallaby remains staunch kiwi asked ass whether black vulnerable present gave empathic response,0,0
50,@@22222249,disabled,ph,april official definition unemployed work reference week looking work however april onwards official definition refined follows working looking work available work subtracts looking available work add available looking work following reason tiredbelieve work available awaiting result job application temporarily illdisabled bad weather waiting rehirejob recall,0,0
53,@@15319429,women,bd,study state woman see sexual harassment form violence addition another woman feel disparaging remark insulting offensive,0,0
54,@@18760930,disabled,ke,court ordered oil company pay former employee sh million sacking disabled,0,0
55,@@9305263,disabled,jm,past year show handed million mustard seed community assist care abandoned disabled hivaidsaffected child pregnant teenager accommodated home across island h advertisement,1,0
56,@@9890957,homeless,nz,people homeless homeless working homeless concerned new zealander asked share experience solution growing issue crossparty homelessness inquiry moregtgt,0,0
58,@@3224696,homeless,lk,said witnessed tragedy people nepal currently experiencing went state emotional time said thousand lost life owing earthquake many rendered homeless destitute,0,0
60,@@20227078,homeless,ke,life street remark really different home often slept hungry cold landlord locked awino therefore always grateful kind man came rescue took boma rescue center home provides temporary shelter homeless child,1,0
61,@@16668574,poor-families,gh,mwesigwa said youth learn lesson good example hero contributed liberation struggle community service conducted cell level district rwanda last saturday morning thousand youth participant clean school make renovation house poor family,1,0
63,@@18615742,migrant,gh,told immigrant worker desire return country community result joblessness become stranded due government policy depart peacefully safely without fear intimidation destination point entry arrival,0,0
64,@@13699547,migrant,ke,agence france presse brussels belgium aug fear mounting european union monthsold pact turkey curb migrant flow could collapse rift deepens ankara crackdown following failed coup,0,0
65,@@15172256,homeless,ca,homeless shelter provides secure environment sleep night nothing left day even individual returning night champion centre offer locked room shelf personal item stored said schnee locker lock key would preferable,0,0
67,@@2055117,poor-families,za,masemola said student poor family lost lot money preparing trip,0,0
68,@@3295868,vulnerable,ph,data center especially vulnerable philippine increased possibility fluctuation outage say santos,0,0
69,@@3571432,refugee,au,developing country shoulder significant burden hosting around world refugee compared ten year ago turkey lebanon pakistan host million refugee h verdict,0,0
71,@@21860657,women,sg,often shave longer inbetween day well born different hair everyone hair grows differently right wrong answer often shave woman every day others privilege waiting longer inbetween shave time go slowly body eventually find right schedule work h shave without water hurry,0,0
72,@@19441106,migrant,my,said maximum punishment imposed make realise department serious employment illegal immigrant following sufficient time given employer register worker ecard programme expired june,0,0
73,@@25665376,refugee,hk,many suffered appalling condition detention centre set deal influx migrant public opinion turned refugee fatigue original camp open allowed inhabitant work hong kong travel freely opposite effect refugee languished closed detention centre sometimes year,0,0
75,@@10016647,vulnerable,gb,chief inspector nicola shepherd led investigation said number year men placed position trust carried prolonged abuse significant number vulnerable young people,0,0
76,@@18327302,vulnerable,za,human go kind ordeal security agency state government continue provide special protection educational institution vulnerable kind outrage especially remote area said,0,0
77,@@22454828,homeless,nz,september major nottle set foot melbourne canberra plead national solution homeless problem,3,1
78,@@17256815,women,lk,prabha one fortunate woman lot family support husband parent sibling stood throughout difficult time husband great support would segregate medicine staple together required dosage taken time eat medicine family support crucial damn world family psychological support amount outside support help adherence key word family take patient complete treatment journey psychologist yet none coping mechanism worked imagine plight patient treatment literacy support said,1,0
79,@@15019103,vulnerable,ng,said neutralise attraction terror ideology among youth vulnerable person international community led united state america must support nigeria fight corruption repatriate stolen fund get economic recession quickly possible,0,0
82,@@16649916,vulnerable,pk,starbucks vulnerable international consumer protest trump policy significant visible global footprint country,0,0
83,@@4672144,homeless,pk,demographic pakistan india similar poverty widespread issue according fao percent child pakistan malnourished underweight due lack access adequate food nt enough pakistan th largest food producing country however percent population food insecure massive income inequality persists rha brilliant movement collect leftover extra food restaurant distribute homeless hungry locality,3,1
84,@@4608429,vulnerable,pk,nevertheless schism within ahmadiyya community mirza muhammad ahmad unabashed claim left movement vulnerable accusation heretical,0,0
85,@@25504610,women,ie,vaila barsley play sweden eskilstuna united represented england youth level although gone become international scotland woman team,0,0
86,@@3876235,refugee,ca,refugee staying family cowichan bay moving accommodation duncan,0,0
87,@@22011888,hopeless,my,ecological conversion call change lifestyle mean true transformation world must come within one u without must choose sacrifice want sharing greed serving common good creation convenience truly disciple hope seemingly hopeless situation,0,0
89,@@3317664,poor-families,au,unbelievable pitting two poor family making feel guilty helping somebody entertainment,0,0
90,@@3085929,in-need,za,skin needling safe precise way traumatise skin stimulate collagen based principal result smoother firmer younger looking skin,0,0
91,@@22447789,disabled,hk,however year met group enthusiastic disabled runner well paralympic game competitor event hong kong,0,0
93,@@1852200,in-need,tz,african flag independent state economic oppression bondage different colonial rule world modern world world midst economic dependence lot people need help word political environment neocolonial rule today different political environment colonial time struggle independence began,0,0
95,@@9746788,immigrant,au,careful way society changed upset many people unfairly mock concern seemingly unrestricted immigration effort community building objectively bad thing breakdown community validly distressing people obsession identity politics everybody multiple conflicting loyalty trouble people strong society one committed common value goal yes live pluralistic society desire cultural connection run strong anglosaxon australian fresh plane immigrant h socrates,0,0
98,@@15438640,immigrant,pk,golden state home country largest number illegal immigrant estimated million official say member community terrified since mogul pulled one improbable presidential win modern history november,0,0
99,@@25281193,in-need,my,departure london barely put dent sampp overall presence europe main financial centre peterson warned britain needed provide clarity key postbrexit regulatory arrangement ensure nt upheaval,0,0
100,@@9531208,migrant,ph,filipino seafarer given inadequate attention society despite incident abduction unjust compensation onboard accident reported legislation passed protect uphold right policy program catering need migrant worker designed landbased worker senator stressed,0,0
101,@@18575081,in-need,bd,according jim gouveia licensed clinical social worker counselor cap purpose gatekeeper training educate people aware sign symptom suicide ask question thought suicide get mental health help assistance need,0,0
103,@@3525243,migrant,au,country one largest source migrant arriving europe shore despite total population smaller london adjusted population larger proportion eritrean arrive syrian afghan,0,0
104,@@14849953,refugee,nz,dr nina zimmerman contracted united nation visit nauru april gauge level mental disorder within thousand refugee marooned,0,0
105,@@4678368,hopeless,pk,satisfaction lie permitting others live living others life never try clutch someone else share always reproduce complexion gore people swallowed helpless hopeless still sobbed due plea conscience grasped wiped tear reason cause,1,0
106,@@19981947,women,za,join girl power ministry worship h prophet bongi ndimande president girl power ministry gpm invite woman girl sixth annual conference gpm held sasol kinross club august,0,0
110,@@4846254,immigrant,us,many worker immigrant nt speak english little formal education,0,0
111,@@7849643,in-need,nz,aussie blogger constance hall raised help queen help kenyan girl need,1,0
112,@@25160721,homeless,sg,turned modest home safe vulnerable especially elderly find homeless living street,1,0
113,@@17683925,vulnerable,pk,islamabad pakistan ranked seventh vulnerable country despite le one per cent contribution climate altering global emission call climate change law enactment pakistan climate change act like many others humble student law political science chemicalenvironmental engineering consider meaningful legislation climate change,0,0
114,@@25687572,migrant,za,june aquarius ship carrying refugee rescued mediterranean refused right dock italy part wholesale attack launched salvini humanitarian rescue ship operated ngo since ngo ship refused entry shocking move clear violation international national law italian coast guard unwilling intervene called help rescue immigrant refugee risk drowning libyan water,0,0
115,@@22756125,in-need,sg,mr tan noted psa performed reasonably well challenging backdrop tough competition addition also preparing future logistics supply chain need transformed new technology trade manufacturing ecommerce dynamic said,0,0
116,@@24205211,poor-families,sg,sister yosephina said human trafficker exploit poor family rural area tricking thinking sending daughter better job better life,0,0
117,@@21706143,immigrant,ke,pioneer shona immigrant though recognized kenya founding father never granted citizenship situation continued date,0,0
118,@@24885862,in-need,za,rhetoric anthropologist laura agust n call rescue industry term used describe people institution conceptualize sex worker victim need saving catherine mackinnon argued example prostitution woman sex men would never otherwise sex,4,1
119,@@23479041,homeless,au,bill reveals much library open public welcome homeless people cope crisis library worker town city across new york describe finding used syrinx glassine envelope doorway patron slumped bathroom,0,0
121,@@9472338,refugee,lk,old card bring lot problem hope new one enhanced security feature help management refugee country said,0,0
122,@@7348632,refugee,au,kate julian one melbourne prominent couple work law art refugee advocacy launched spare room refugee welcomed seven asylum seeker home extended period couple worked hard cause year demanded lot time say julian without kate continued enthusiasm idea would possible keep julian say changed life hugely would say one big big turning point existence,0,0
124,@@2599892,immigrant,hk,ruling judge released thursday said wouldbe immigrant right force government fulfill promise investor immigration program canceled february despite around application outstanding,0,0
125,@@21983572,immigrant,my,many brought story horrific abuse hand myanmar military local buddhist mob including rape arson murder myanmar regard illegal immigrant bangladesh refuse citizenship,0,0
126,@@7205684,poor-families,nz,change implemented april increase work tax credit part wff per week work insecure hour irregular poor family may meet condition access important weekly payment child benefit likewise qualify make serious costeffective inroad child poverty cpag urge government extend tax credit low income family,0,0
127,@@24638267,in-need,za,cook go holding ankle need treatment,0,0
128,@@9921472,immigrant,ie,bouhlel certainly match classic profile french violent islamic extremist many way though relatively recent arrival rather born country immigrant parent usually case,0,0
129,@@8473878,women,pk,bill proposed may faced obstruction punjab assembly according punjab government bill comprehensive brings several previously ignored offence within ambit cover domestic violence emotional economic psychological abuse cyber crime stalking abetting offender unlike previous law introduces ingenious implementation mechanism proposes setting hour womenrun district violenceagainstwomen centre centre required service including first aid police reporting fir lodging prosecution medical examination forensics posttrauma rehabilitation one roof accessible woman tollfree helpline set woman could call assistance legal advice prompt evidence collection immediate protection,0,0
130,@@7477982,hopeless,za,hotline provides free telephonic counselling every day year people feel desperate helpless hopeless feel like committing suicide,0,0
131,@@1277016,immigrant,ph,nancy ching daughter immigrant taiwan opened school student year south korea first moved u column china column today,0,0
132,@@15483547,in-need,ng,legislator concerned diversion shsbillion contingency fund parliamentary commission yet government could offer enough food relief area need including district isingiro rakai karamoja region,1,0
135,@@9506461,homeless,pk,student reported homeless said often couchsurfed slept car tent parking lot railway station study first survey country said systemwide commitment needed remedy situation csu campus developing program support need displaced food insecure student report said however greater understanding student population experience accessing utilising existing service rate retention needed elizabeth chapin spokeswoman csu said study would continue another two year ass widespread issue homelessness hunger among student come intervention program assist ensure graduate,0,0
136,@@251852,vulnerable,au,simon frazer mr brunton say society first known society promoting christian knowledge benevolence founded response vulnerable economy perception many poor nt deserve help,0,0
137,@@26237048,refugee,sg,repatriation plan tatter funding evaporating million refugee evergrowing need rohingya muslim fled myanmar bangladesh face grim future one year latest eruption decadesold conflict,1,0
138,@@4163910,vulnerable,ca,sentence imposed today must speak woman particularly young woman impress upon necessity importance seeking assistance others order cope safely physiological emotional change associated pregnancy childbirth vulnerable,0,0
139,@@23936096,migrant,lk,proposal approved office management budget omb would require immigrant nonimmigrant visa applicant list social medium identity used past five year,0,0
140,@@24550081,hopeless,sg,bit chaotic week stressful situation one hopeless helpless outlook hard explain lava right behind house pretty surreal leilani estate homeowner jared mcmanus told reuters,0,0
141,@@7204213,immigrant,ie,obama plan offered year total stalemate republicanled congress would shield million undocumented immigrant currently residing u immigration including many undocumented irish living today,0,0
142,@@434994,hopeless,au,wish piece hand week ago defending govt handling gst labor govt hopelessly inept selling albeit fighting mostly hostile press current govt get recognition achievement somehow manages get blamed tradie fall roof also continues pain many citizen saying tough clearly actually pretty well bit like miner become used super profit complain profit fall back reasonable level,0,0
143,@@4603373,disabled,jm,small business development fund also particular mandate special consideration disabled person,0,0
144,@@15566322,vulnerable,hk,alarming fact given company run specific business issue like unfulfilled client payment liability past month noted hamann operating basic mandated level insurance leaf smes vulnerable susceptible risk brought specific equally common business issue,0,0
145,@@20177522,immigrant,us,dallas one two dozen city established office assist immigrant according university southern california center study immigrant integration nonprofit welcoming america many city county initiative focus immigrant,0,0
146,@@21486090,poor-families,ke,creates prospect poor family forced pay pocket extra visit health facility,0,0
147,@@24550411,hopeless,ke,yes almost every village version hopeless drunk countless tale lot lost cause however story every kenyan partakes alcohol snarl tipsy elvis bang table emphasis,0,0
148,@@24847334,homeless,au,seems st kilda caters three entity tourist homelessdisplaced council receives rate people st kilda catering u resident,0,0
150,@@22143598,vulnerable,ng,recognising country affected effect climate change one planet vulnerable summit seek tangible collective action reduce greenhouse gas emission,0,0
152,@@18323373,hopeless,jm,desperation fear dismal future filled difficulty suffering amplify aggression heartless tendency finally come rest society perceive collection faceless nameless heartless careless have continually exploit marginalise despise sentence life hopelessness,3,1
155,@@4755947,homeless,us,nona ogara supervisor center said resident tell never homeless always home,3,1
156,@@30100020,homeless,gh,daheley also keen highlight figure like fiona stewart age single mum living homeless shelter run green man festival,0,0
158,@@3585170,immigrant,gb,land immigrant enshrined freedom religion constitution yet spent much history despising harassing marginalising catholic,0,0
159,@@24825067,migrant,my,chancellor angela merkel faced strong criticism german opening border million migrant last year want inclusive multiethnic germany long stressed islam part germany called tolerance,0,0
160,@@4612693,women,my,yet hollywood film portray older woman desirable remain sparse meryl streep one precious still allowed play romantic lead meanwhile excluded one notable way older actress make onto screen playing character dementia judi dench iris julie christie away streep iron lady emmanuelle riva amour,0,0
161,@@20414278,hopeless,pk,guterres cited longstanding history discrimination hopelessness extreme poverty rohingya warned possible ethnic cleansing,1,0
164,@@19991019,in-need,ca,looked building three four year ago need excess repair said mcissac financially municipality could nt,0,0
165,@@4631773,poor-families,pk,though many tribe feel need educate girl however due social pressure lack fund able fulfill dream far bypass societal stigma financial downfall faced eventual problem nonexistence educational institution higher study though option shift city tradition bound people easier said done despite ngo established private school either folk around part trust ngo fee high poor family simply afford,0,0
166,@@10032470,refugee,gh,two inmate guantanamo bay detention camp exprisoners sentenced arusha based international criminal tribunal given refugee status monitored national security two year,0,0
167,@@2352555,disabled,ca,brampton move mitigate cost associated clearing debris december ice storm committee council march approved ice storm debris removal program low income senior disabled resident program pending final ratification council march resident meet eligibility criterion receive grant towards ice storm debris clearance,0,0
168,@@16736225,refugee,ie,detainee official source said interview date pulled morning hour u president donald trump signed executive order suspended u refugee programme day stopped visit traveller seven muslimmajority country,0,0
169,@@17665787,disabled,ph,education cepe said town negro oriental already starting put classroom cater disabled west city elementary school dumaguete city high school special class pwds well,0,0
170,@@16287924,migrant,pk,earlier indian prime minister narendra modi bharatiya janata party bjp vowed disenfranchise million muslim immigrant assam waging polarising election campaign bid secure power border state,0,0
171,@@18450304,women,bd,excited see monetary result business donate toward cooperative since also part xosu interest money going used difference make among woman uganda triplett said,2,1
172,@@4436007,vulnerable,gb,going separation first husband time feeling vulnerable,0,0
176,@@16541896,in-need,lk,meanwhile fast bowler nuwan pradeep opener dhanuskha gunathilaka expected return home sri lanka today sri lanka cricket said player need rest recover injury,0,0
177,@@16626471,immigrant,in,united state nation immigrant proud noted need keep country safe focusing people actually pose threat also keep door open refugee need help,1,0
179,@@15574765,women,ca,jenny neal regional director grandmother advocacy network saskatchewan manitoba display orange scarf sculpture prairie wind river landing thursday november promote day orange raise awareness violence womengreg pender starphoenix,2,1
180,@@4703243,in-need,jm,mckenzie said addition deteriorating housing stock need replenished physical infrastructure constituency need urgent improvement,0,0
181,@@4533263,immigrant,jm,feature cookbook offer glimpse caribbean history illustrate historical event dictated food dish found today table dish viewed window colourful history island glimpse also illustrate modern caribbean cuisine eclectic blend cooking culture technique major cuisine world reason simple past year island visited wave conqueror explorer buccaneer pirate trader missionary native indian spanish french british land owner african slave indentured chinese east indian dutch irish french german jewish lebanese portuguese scottish immigrant contributed food spice cooking method time melded combined become bold unique cuisine,0,0
184,@@19174796,refugee,us,today unanimous supreme court decision clear victory national security allows travel suspension six terrorprone country refugee suspension become largely effective president donald trump said statement,0,0
189,@@10290840,poor-families,bd,rab source said salma used collect baby poor family trick sell others,0,0
190,@@20792031,in-need,pk,pop star marc anthony born new york whose parent puerto rico sent blistering tweet aimed u president telling shut nfl something people need puertorico american citizen,0,0
191,@@10035251,migrant,bd,said migrant disoriented three day walking taken costa rica honduras according new york time report,0,0
193,@@14611763,disabled,my,several victim permanently disabled including leg amputated shot said,0,0
194,@@7480261,poor-families,ie,sadly many body civilian killed rising never claimed authority laid city hall poor family mean bury loved one,1,0
196,@@3889314,in-need,ie,meanwhile loo bridge killarney water rescue crew evacuate elderly couple flooded home ill need medical attention said john oloughlin killarney water rescue,0,0
197,@@7384248,vulnerable,us,understandable want protect one home family conflict must rally together human understanding responsibility help world vulnerable survive rebuild life hundred thousand refugee want nothing safe place family travel incredibly dangerous circumstance avoid live place ravaged war terror suffering something understand country neighboring syria jordan lebanon turkey iraq already taken million people take,4,1
198,@@20244268,vulnerable,lk,violence one challenging problem time nt matter part world live unfortunate reality violence spurred terrorism gone global every human equally susceptible vulnerable ferocity lieut gen senanayake said,0,0
199,@@22957827,homeless,ca,pierre gregoire died last feb overdose age part innu nation gregoire aspiring musician muchloved fixture queen bathurst area one people believed died result issue tied homelessness according figure released toronto public health friday supplied photo,0,0
200,@@21821228,refugee,bd,hasina said bangladesh handed draft deal myanmar quick repatriation rohingya refugee country examining discussing,0,0
201,@@25319981,in-need,lk,came power govern country yahapalanaya concept nt govern country killing hurting people one allowed establish military dictatorship country buddhist country following buddhist ethic since birth need military dictatorship must stand want establish hitler type leadership disregard race religion afraid make decision minister port afraid sack thief follow procedure petroleum ministry,0,0
202,@@25238669,migrant,au,u president donald trump say sign executive order end migrant family separation,0,0
203,@@17188116,in-need,ng,president ufuoma fish farmer association model sub west african region farmer operating cluster told correspondent association capable meeting protein need deltans given desired support,0,0
204,@@3136730,poor-families,za,guardian written tunisian volunteer come middle class rather working class poor family,0,0
205,@@16987193,immigrant,my,u european official remain deeply worried say unrelenting russian action including cyber attack fake news report support rightwing party aimed boosting election prospect antiimmigrant politician france germany netherlands undermining popular support european union nato,0,0
207,@@26172674,in-need,au,people packed hamper foodbank provide need holiday season,0,0
208,@@22311635,homeless,za,next week assure homeless beggar fill street day come new year eve long street turn war zone,0,0
209,@@25465205,poor-families,za,spell bad news south african impact poor family even worse increase fuel price create level hardship group already suffering high level unemployment stagnant declining real wage said,0,0
210,@@16440851,homeless,hk,free premium h mosul battle made homeless h email friend,0,0
211,@@8283241,women,my,participant level ghrelin hunger hormone found increased level peptide yy hungersuppressing hormone dropped result group woman consumed calorie average buffet meal compared calorie participant whose calorie deficit created running treadmill,0,0
212,@@7916553,poor-families,pk,bisp providing service financial support million poor family across pakistan marvi said adding government mission reduce number ensuring poor family enabled become selfsupporting get rid poverty,1,0
213,@@18288890,refugee,za,minister said refugee often ask authority choose locate camp near game park near save river wild animal come drink water,0,0
214,@@14829463,in-need,gh,ghana coach avram grant declared need striker fill rank attacking army hope prodigious scoring form drawing attention israeli gaffer,0,0
215,@@2634175,refugee,lk,sri lanka high commissioner australia admiral thisara samarasinghe interview sunday observer said sri lanka unrelentingly attacked called refugee advocate four per cent asylum seeker sri lanka per cent refugee arriving australia elsewhere,0,0
216,@@26182492,vulnerable,sg,also said macau scam syndicate often targeted individual aged vulnerable age group working private sector financial standing,0,0
217,@@3410923,immigrant,ie,manifestly correct though irish community leader among first say live new york made aware hard working family orientated mexican immigrant actually,1,0
220,@@13504423,immigrant,in,early story yahoo silicon valley mythology graduate student stanford school engineering yang mathoriented taiwanese immigrant filo quiet programmer louisiana created directory link called jerry david guide world wide web handy map unnavigable digital landscape web surfer loved following year sequoia capital invested newly renamed startup brought former motorola executive named tim koogle ceo,0,0
221,@@15205066,homeless,in,peter say big party nt touch issue clash interest party nt want annoy influential big landowner issue go beyond class issue become caste issue approach sad bjp congress aap even bsp also actively participated agitation politician visit family dalits murdered liquor mafia none gone homeless dalits fighting marla plot say,0,0
222,@@23066172,vulnerable,nz,food ration cut many neighbouring country said filippo grandi un high commissioner refugee adding vulnerable group including woman already exposed violence provided necessary support,0,0
225,@@13476192,immigrant,lk,sri lanka privatized plantation stop monthly payment million rupee keep plantation afloat pay salary sri lanka current administration manadated minimum wage originally devised western eugenicists tool keep immigrant minority woman workforce also wage hike,1,0
226,@@4712101,disabled,jm,guide inform jutc traveller route ticket bus schedule well provide special assistance disabled person use facility customer service information desk also installed halfwaytree transport centre,0,0
227,@@13497239,poor-families,us,upper caste men make fun u think life nt matter daughter poor family always look u lustful eye,0,0
230,@@19461949,women,my,paper cover wide range topic including international national local news financial business page sport colour entertainment leisure woman page colour doctor column student page hotline public service others,0,0
231,@@9472420,hopeless,my,sense hopelessness enveloping malaysian wake twin byelections last saturday suddenly defeat umnobarisan nasional juggernaut seems distant dream many idea new politics replacing old order seems impossible,0,0
233,@@1483183,migrant,us,late present association immigration crime center point antiimmigrant discourse public policy wadsworth writes although scant empirical research support claim persisted little debate,0,0
234,@@20844940,refugee,gb,thailand recognise status refugee recognise rohingya legitimate migrant worker,0,0
235,@@25375446,vulnerable,lk,sri lanka among vulnerable economy strengthens dollar,0,0
237,@@2298358,disabled,gb,group parent got together decided build centre could help family severely disabled child get education physiotherapy life chance needed,0,0
239,@@25943513,in-need,pk,moreover donation dam may increase imran khan prime minister pakistan declares flagship project government urge people especially overseas pakistani contribution always generously contributed cause whenever pakistan need,0,0
240,@@8907531,immigrant,au,stefanovic said immigrant faraway land helped make australia mr dutton cherrypicked statistic nt reflect finding department,1,0
242,@@7511755,in-need,ie,dublin need make attractive tech company like roland tritsch h another angle,0,0
243,@@19406751,homeless,nz,prime minister bill english come support te puea marae reopening programme manaaki tangata help whanau kore kainga homeless family housing,0,0
244,@@18374174,in-need,nz,mr little said would provide better quicker treatment need,1,0
245,@@15627978,women,nz,mcalister also nominated coach year lost western magpie premier woman coach tua raroa,0,0
246,@@20000497,homeless,au,cause someone become homeless brainstorm many reason check story idea,1,0
248,@@17606348,hopeless,ke,clear evidence outstanding miraculous occurrence began arise lame began walk hopeless cancer patient lifted despair,4,1
249,@@22546584,homeless,hk,another collective sale lead region real estate headline today asia get back work western holiday season owner housing development hoping bring million homeless meanwhile guangzhou rampf latest mainland giant report encouraging sale number much read,0,0
250,@@24477162,migrant,in,bank america biggest competitor nt specific policy employment daca permit holder goldman sachs group inc jp morgan chase amp co said support legal path citizenship well fargo amp co sued allegedly discriminating dreamer applying loan said statement protection daca immigrant relevant team member community serve,0,0
251,@@9400218,in-need,za,last friday legendary boxer muhammad ali laid rest home town louisville kentucky even death message religious tolerance principle resonated clearly present sorely need peace understanding nation sadly guy never received memo,0,0
252,@@25866247,vulnerable,gb,tyrone jones pictured preyed upon vulnerable addict like cuckoo come along lay drug nest surrey,0,0
254,@@9861405,migrant,ca,recognized globally contribution increasing inclusion immigrant currently founding executive director think tank ryerson university school management focus diversity migration inclusion chair lifeline syria seek bring privately sponsored syrian refugee toronto also serf board centre mental health addiction environics institute samara lifeline syria chair ratna omidvar work volunteer organization office toronto friday september,0,0
256,@@22611482,immigrant,us,september trump scrapped program also provided permission work delayed implementation six month give congress time step saying nt want punish lawabiding immigrant brought country young held accountable wanted lawmaker formalize status,1,0
257,@@112064,women,us,discovery unusual origin houston book group seven year ago three woman group diagnosed breast cancer alison henning geologist mother two young boy one,0,0
