par_id,art_id,keyword,country_code,text,label,class,preprocessed_text
44,@@20860277,vulnerable,ng,"Comrade David Kerigbo Ugondo was born to the family of Late Pa Akerigbo Adikpo and wife , Mrs. Pam Akerigbo Adikpo on the 25th day of October 1950 in Achagh Mbaduku in Vandeikya Local Government of Benue State . His 67th birthday would be 25th of October . A well secured Nigeria gave birth and nurtured Comrade David into 27 years of meritorious service to industry and unionism . It is tragic that an unsecured Nigeria in 2017 made him vulnerable to day-light gunshots on Sunday September 10 , 2017 by criminal armed robbers who attacked around Birnin Gwari town of Kaduna State . May God grant him and other victims which included an Army Captain and infant baby eternal rest in paradise .",1,0,comrade david kerigbo ugondo born family late pa akerigbo adikpo wife mr pam akerigbo adikpo th day october achagh mbaduku vandeikya local government benue state th birthday would th october well secured nigeria gave birth nurtured comrade david year meritorious service industry unionism tragic unsecured nigeria made vulnerable daylight gunshot sunday september criminal armed robber attacked around birnin gwari town kaduna state may god grant victim included army captain infant baby eternal rest paradise
45,@@4002879,refugee,us,"Currently , what 's left to the Palestinian people is nothing more than the tiny territory of Gaza Strip , which is a de facto prison of Palestinian refugees , as well as the scattered and isolated villages and cities of the West Bank .",1,0,currently left palestinian people nothing tiny territory gaza strip de facto prison palestinian refugee well scattered isolated village city west bank
46,@@8054332,in-need,us,"ORLANDO , Fla. - Are you missing something fuzzy and cute in your life ? Many cats and dogs can fill that need and are in need of good homes .",0,0,orlando fla missing something fuzzy cute life many cat dog fill need need good home
47,@@7267604,in-need,nz,More than 750 trolleys of food donated to those in need,0,0,trolley food donated need
48,@@21492418,vulnerable,nz,"Deans now lives in Japan and previously coached the Wallabies but remains a staunch Kiwi . Asked to assess whether the All Blacks were vulnerable at present , he gave an empathic response .",0,0,dean life japan previously coached wallaby remains staunch kiwi asked ass whether black vulnerable present gave empathic response
50,@@22222249,disabled,ph,"Before April 2005 , the official definition of the unemployed was those who did not work during the reference week and are looking for work . However , from April 2005 onwards , the official definition was refined as follows : not working , looking for work , and available for work . It subtracts those who are looking but not available for work and adds those available but not looking for work for the following reasons : tired/believe no work is available , awaiting results of a job application , temporarily ill/disabled , bad weather , and waiting for rehire/job recall .",0,0,april official definition unemployed work reference week looking work however april onwards official definition refined follows working looking work available work subtracts looking available work add available looking work following reason tiredbelieve work available awaiting result job application temporarily illdisabled bad weather waiting rehirejob recall
53,@@15319429,women,bd,"The 2015 study states that 97% of women see sexual harassment as a form of violence . In addition , another 85% of women feel disparaging remarks are insulting and offensive .",0,0,study state woman see sexual harassment form violence addition another woman feel disparaging remark insulting offensive
54,@@18760930,disabled,ke,A court ordered an oil company to pay a former employee Sh5.7 million for sacking him because he was disabled .,0,0,court ordered oil company pay former employee sh million sacking disabled
55,@@9305263,disabled,jm,"Over the past 15 years , the show has handed over more than $50 million to the Mustard Seed Communities to assist with the care of more than 400 abandoned , disabled , HIV/AIDS-affected children , and pregnant teenagers being accommodated in its 12 homes across the island . <h> ADVERTISEMENT",1,0,past year show handed million mustard seed community assist care abandoned disabled hivaidsaffected child pregnant teenager accommodated home across island h advertisement
56,@@9890957,homeless,nz,"People who are homeless , those who were once homeless , those working with the homeless and concerned New Zealanders are being asked to share their experiences and solutions to this growing issue with the Cross-Party Homelessness Inquiry . More&gt;&gt;",0,0,people homeless homeless working homeless concerned new zealander asked share experience solution growing issue crossparty homelessness inquiry moregtgt
58,@@3224696,homeless,lk,He said that they have witnessed the tragedy the people of Nepal are currently experiencing . He went on to state that it is an emotional time for all . He said that thousands have lost their lives owing to this earthquake while many have been rendered homeless and destitute .,0,0,said witnessed tragedy people nepal currently experiencing went state emotional time said thousand lost life owing earthquake many rendered homeless destitute
60,@@20227078,homeless,ke,"Life on the streets , she remarks , was really no different from home , where she often slept hungry or out in the cold when the landlord locked them out . Awino will therefore always be grateful to that kind man who came to her rescue and took her to Boma Rescue Center , a home that provides temporary shelter for homeless children .",1,0,life street remark really different home often slept hungry cold landlord locked awino therefore always grateful kind man came rescue took boma rescue center home provides temporary shelter homeless child
61,@@16668574,poor-families,gh,Mwesigwa said ' Youth have to learn lessons from good example of Heroes who contributed in the liberation struggle . ' The Community Service was conducted at Cell level in all Districts of Rwanda last Saturday morning with thousands of youth participants to clean schools and make renovation of houses for poor families .,1,0,mwesigwa said youth learn lesson good example hero contributed liberation struggle community service conducted cell level district rwanda last saturday morning thousand youth participant clean school make renovation house poor family
63,@@18615742,migrant,gh,They told all immigrants workers who desire to return to their countries or communities as a result of joblessness and has become stranded due to the government 's policy to depart peacefully and safely without fear of intimidation at the destination points of entry and arrival .,0,0,told immigrant worker desire return country community result joblessness become stranded due government policy depart peacefully safely without fear intimidation destination point entry arrival
64,@@13699547,migrant,ke,"By AGENCE FRANCE PRESSE , Brussels , Belgium , Aug 5 -- Fears are mounting in the European Union that its months-old pact with Turkey to curb migrant flows could collapse as a rift deepens over Ankara 's crackdown following a failed coup .",0,0,agence france presse brussels belgium aug fear mounting european union monthsold pact turkey curb migrant flow could collapse rift deepens ankara crackdown following failed coup
65,@@15172256,homeless,ca,"The homeless shelter provides a secure environment to sleep at night but nothing can be left there during the day , even if the individual is returning that night . The Champion Centre now offers a locked room with shelves where personal items can be stored , said Schnee . Lockers with a lock and key would be preferable .",0,0,homeless shelter provides secure environment sleep night nothing left day even individual returning night champion centre offer locked room shelf personal item stored said schnee locker lock key would preferable
67,@@2055117,poor-families,za,Masemola said the students were all from poor families and had lost a lot of money preparing for the trip .,0,0,masemola said student poor family lost lot money preparing trip
68,@@3295868,vulnerable,ph,""""""" Data centers are especially vulnerable here in the Philippines because of the increased possibility of fluctuations and outages , """" says Santos .""",0,0,data center especially vulnerable philippine increased possibility fluctuation outage say santos
69,@@3571432,refugee,au,"Developing countries shoulder the most significant burden , hosting around 86% of the world 's refugees , compared to 70% ten years ago . Turkey , Lebanon and Pakistan each host more than 1 million refugees . <h> Verdict",0,0,developing country shoulder significant burden hosting around world refugee compared ten year ago turkey lebanon pakistan host million refugee h verdict
71,@@21860657,women,sg,"But how often should we shave if we no longer have in-between days ? Well , we are all born different and so is our hair . Everyone 's hair grows differently so there is no right or wrong answer as to how often we should shave . Some women do it every day , while others have the privilege of waiting longer in-between shaves . As time goes by , we will slowly no more about our body and eventually find the right schedule that works . <h> 4 ) ' I can shave without water when I 'm in a hurry '",0,0,often shave longer inbetween day well born different hair everyone hair grows differently right wrong answer often shave woman every day others privilege waiting longer inbetween shave time go slowly body eventually find right schedule work h shave without water hurry
72,@@19441106,migrant,my,He said the maximum punishment should be imposed to make them realise the department was serious about the employment of illegal immigrants following sufficient time having been given to them ( employers ) to register their workers under the E-Card programme which expired on June 30 .,0,0,said maximum punishment imposed make realise department serious employment illegal immigrant following sufficient time given employer register worker ecard programme expired june
73,@@25665376,refugee,hk,"""Many suffered in appalling conditions in detention centres , set up to deal with the influx of migrants , as public opinion turned to """" refugee fatigue . """" The original camps were open and allowed inhabitants to work in Hong Kong and travel freely , but by 1982 , the opposite was in effect , and refugees languished in """" closed """" detention centres , sometimes for years .""",0,0,many suffered appalling condition detention centre set deal influx migrant public opinion turned refugee fatigue original camp open allowed inhabitant work hong kong travel freely opposite effect refugee languished closed detention centre sometimes year
75,@@10016647,vulnerable,gb,"""Chief inspector Nicola Shepherd , who led the investigation , said : """" For a number of years these men , who were placed in a position of trust , carried out prolonged abuse on a significant number of vulnerable young people .""",0,0,chief inspector nicola shepherd led investigation said number year men placed position trust carried prolonged abuse significant number vulnerable young people
76,@@18327302,vulnerable,za,"' ' No human being should go through this kind of ordeal . The security agencies and state governments should continue to provide special protection to educational institutions vulnerable to this kind of outrage especially in remote areas , ' ' he said .",0,0,human go kind ordeal security agency state government continue provide special protection educational institution vulnerable kind outrage especially remote area said
77,@@22454828,homeless,nz,"In September , Major Nottle set off on foot from Melbourne to Canberra to plead for a national solution to the homeless problem .",3,1,september major nottle set foot melbourne canberra plead national solution homeless problem
78,@@17256815,women,lk,"""But Prabha was one of the few fortunate women to have a lot of family support . """" My husband , parents and siblings all stood by me throughout those difficult times . My husband was a great support . He would segregate my medicines and staple together the required dosage to be taken at a time , so that I did not over or under eat any medicine . Family support is very crucial , because then you can damn the world . If the family 's psychological support is not there , no amount of outside support can help . Adherence is the key word and it is the family who can take the patient to complete the treatment journey . I was a psychologist ; yet none of my coping mechanisms worked . Just imagine the plight of those patients who have no treatment literacy and other support """" , she said .""",1,0,prabha one fortunate woman lot family support husband parent sibling stood throughout difficult time husband great support would segregate medicine staple together required dosage taken time eat medicine family support crucial damn world family psychological support amount outside support help adherence key word family take patient complete treatment journey psychologist yet none coping mechanism worked imagine plight patient treatment literacy support said
79,@@15019103,vulnerable,ng,"""He said : """" To neutralise the attraction of terror ideology among our youth and other vulnerable persons , the International Community led by United States of America must support Nigeria to fight corruption , repatriate stolen funds and get out of economic recession as quickly as possible .""",0,0,said neutralise attraction terror ideology among youth vulnerable person international community led united state america must support nigeria fight corruption repatriate stolen fund get economic recession quickly possible
82,@@16649916,vulnerable,pk,"Starbucks is vulnerable to international consumer protests against Trump policies because it has a significant , very visible global footprint in 75 countries .",0,0,starbucks vulnerable international consumer protest trump policy significant visible global footprint country
83,@@4672144,homeless,pk,"The demographics of Pakistan and India are very similar . Poverty is a widespread issue . According to the FAO , 40 percent of children in Pakistan are malnourished and underweight due to lack of access to adequate food . And this is not because there is n't enough ; Pakistan is the 8th largest food producing country , however , 50 percent of the population is food insecure . With the massive income inequality that persists , RHA is a brilliant movement . We collect leftover or extra food from restaurants and distribute it to the homeless and hungry in the locality .",3,1,demographic pakistan india similar poverty widespread issue according fao percent child pakistan malnourished underweight due lack access adequate food nt enough pakistan th largest food producing country however percent population food insecure massive income inequality persists rha brilliant movement collect leftover extra food restaurant distribute homeless hungry locality
84,@@4608429,vulnerable,pk,"Nevertheless , the schism within the Ahmadiyya community and Mirza Muhammad Ahmad 's unabashed claims left the movement vulnerable against accusations of being heretical .",0,0,nevertheless schism within ahmadiyya community mirza muhammad ahmad unabashed claim left movement vulnerable accusation heretical
85,@@25504610,women,ie,"Vaila Barsley plays in Sweden for Eskilstuna United and represented England at youth level , although she has gone on to become an international with the Scotland women 's team .",0,0,vaila barsley play sweden eskilstuna united represented england youth level although gone become international scotland woman team
86,@@3876235,refugee,ca,The refugees are staying with a family in Cowichan Bay until moving into their own accommodation in Duncan .,0,0,refugee staying family cowichan bay moving accommodation duncan
87,@@22011888,hopeless,my,""""""" Ecological conversion """" calls for a change in our lifestyle . This means that true transformation of the world must come from within each one of us , not from without . We must choose sacrifice over want , sharing over greed , and serving the common good of all creation over convenience . Only then can we truly be Disciples of Hope in a seemingly hopeless situation .""",0,0,ecological conversion call change lifestyle mean true transformation world must come within one u without must choose sacrifice want sharing greed serving common good creation convenience truly disciple hope seemingly hopeless situation
89,@@3317664,poor-families,au,""""""" Unbelievable . They 're pitting two poor families against each other and making them feel guilty about helping somebody for our entertainment ? """"""",0,0,unbelievable pitting two poor family making feel guilty helping somebody entertainment
90,@@3085929,in-need,za,"Skin needling is a safe and precise way to traumatise the skin to stimulate collagen , based on the above principal . It results in a smoother , firmer and younger looking skin .",0,0,skin needling safe precise way traumatise skin stimulate collagen based principal result smoother firmer younger looking skin
91,@@22447789,disabled,hk,"However , this year he met a group of enthusiastic disabled runners as well Paralympic Games competitors at an event in Hong Kong .",0,0,however year met group enthusiastic disabled runner well paralympic game competitor event hong kong
93,@@1852200,in-need,tz,"Most African flag independent States are under economic oppression , a bondage which is not very different from the colonial rules of the 1900 -- 1970 world . This modern world is a world in the midst of economic dependence and a lot of people in need of help . In other words the political environment under neo-colonial rule of today is not different from the political environment during colonial times where the struggles for independence began .",0,0,african flag independent state economic oppression bondage different colonial rule world modern world world midst economic dependence lot people need help word political environment neocolonial rule today different political environment colonial time struggle independence began
95,@@9746788,immigrant,au,"Careful here . The way society has changed has upset many people and we unfairly mock these concerns . Seemingly unrestricted immigration with no effort at community building is objectively a bad thing . The breakdown of community is validly distressing to some people . When you have an obsession with identity politics , everybody having multiple and conflicting loyalties , this troubles some people . A strong society is one where we are all committed to common values and goals . Yes we live in a pluralistic society , but the desire for cultural connections runs just as strong in Anglo-Saxon Australians as it does for fresh off the plane immigrants . <h> Socrates :",0,0,careful way society changed upset many people unfairly mock concern seemingly unrestricted immigration effort community building objectively bad thing breakdown community validly distressing people obsession identity politics everybody multiple conflicting loyalty trouble people strong society one committed common value goal yes live pluralistic society desire cultural connection run strong anglosaxon australian fresh plane immigrant h socrates
98,@@15438640,immigrant,pk,The Golden State is home to the country 's largest number of illegal immigrants -- an estimated 2.4 million -- and officials say members of the community are terrified since the mogul pulled off one of the most improbable presidential wins in modern history on November 8 .,0,0,golden state home country largest number illegal immigrant estimated million official say member community terrified since mogul pulled one improbable presidential win modern history november
99,@@25281193,in-need,my,The departures from London will barely put a dent in S&amp;P 's overall presence in Europe 's main financial centre . But Peterson warned Britain needed to provide clarity on key post-Brexit regulatory arrangements to ensure there is n't more upheaval .,0,0,departure london barely put dent sampp overall presence europe main financial centre peterson warned britain needed provide clarity key postbrexit regulatory arrangement ensure nt upheaval
100,@@9531208,migrant,ph,""""""" Filipino seafarers have been given inadequate attention in our society . Despite incidents of abduction , unjust compensation and on-board accidents that have been reported , no legislation has been passed to protect and uphold their rights . Most of the policies and programs catering to the needs of migrant workers are designed for land-based workers , """" the Senator stressed .""",0,0,filipino seafarer given inadequate attention society despite incident abduction unjust compensation onboard accident reported legislation passed protect uphold right policy program catering need migrant worker designed landbased worker senator stressed
101,@@18575081,in-need,bd,"""According to Jim Gouveia , a licensed clinical social worker and a counselor at CAPS , the purpose of gatekeeper trainings is to educate people to be aware of the signs and symptoms of suicide , how to ask the question , """" Have you thought about suicide ? """" and how to get mental health help and assistance for those in need .""",0,0,according jim gouveia licensed clinical social worker counselor cap purpose gatekeeper training educate people aware sign symptom suicide ask question thought suicide get mental health help assistance need
103,@@3525243,migrant,au,"the country is one of the largest sources of migrants arriving on Europe 's shores , despite a total population smaller than that of London . Adjusted for its population , a larger proportion of Eritreans arrive than Syrians or Afghans .",0,0,country one largest source migrant arriving europe shore despite total population smaller london adjusted population larger proportion eritrean arrive syrian afghan
104,@@14849953,refugee,nz,Dr Nina Zimmerman was contracted by the United Nations to visit Nauru in April and gauge the level of mental disorder within the thousand refugees marooned there .,0,0,dr nina zimmerman contracted united nation visit nauru april gauge level mental disorder within thousand refugee marooned
105,@@4678368,hopeless,pk,"Satisfaction lies in permitting others to live , not living others ' lives . Never try to clutch someone else ' share , always reproduce your own complexion and gore . People swallowed helpless and hopeless but still sobbed due to plea of their conscience . I have grasped and wiped those tears who were the reason of their own cause .",1,0,satisfaction lie permitting others live living others life never try clutch someone else share always reproduce complexion gore people swallowed helpless hopeless still sobbed due plea conscience grasped wiped tear reason cause
106,@@19981947,women,za,"Join the Girl Power Ministry in worship <h> Prophet Bongi Ndimande , president of the Girl Power Ministry ( GPM ) , invites women and girls to the sixth annual conference of GPM that will be held at the Sasol Kinross Club from 25 to 26 August .",0,0,join girl power ministry worship h prophet bongi ndimande president girl power ministry gpm invite woman girl sixth annual conference gpm held sasol kinross club august
110,@@4846254,immigrant,us,Many of the workers are immigrants who do n't speak English and have little formal education .,0,0,many worker immigrant nt speak english little formal education
111,@@7849643,in-need,nz,"Aussie blogger Constance Hall has raised more than $150,000 with the help of her ' Queens ' to help Kenyan girls in need .",1,0,aussie blogger constance hall raised help queen help kenyan girl need
112,@@25160721,homeless,sg,"She has turned her modest home into a safe haven for the vulnerable , especially the elderly who find themselves homeless and living on the streets .",1,0,turned modest home safe vulnerable especially elderly find homeless living street
113,@@17683925,vulnerable,pk,"""ISLAMABAD : Pakistan , which is ranked as the seventh most vulnerable country , despite its less than one per cent contribution to climate altering global emissions , has now what we call a """" climate change law """" after the enactment of the Pakistan Climate Change Act of 2016 . Like many others , being a humble student of law , political science and chemical/environmental engineering , I consider it as a meaningful legislation on climate change .""",0,0,islamabad pakistan ranked seventh vulnerable country despite le one per cent contribution climate altering global emission call climate change law enactment pakistan climate change act like many others humble student law political science chemicalenvironmental engineering consider meaningful legislation climate change
114,@@25687572,migrant,za,"On 9 June , the Aquarius , a ship carrying 629 refugees rescued in the Mediterranean , was refused the right to dock in Italy . This is part of a wholesale attack launched by Salvini on humanitarian rescue ships operated by NGOs . Since then , other NGO ships have been refused entry . In a shocking move -- and in clear violation of international and national laws -- the Italian coast guard is now unwilling to intervene when called for help to rescue immigrants and refugees at risk of drowning in Libyan waters .",0,0,june aquarius ship carrying refugee rescued mediterranean refused right dock italy part wholesale attack launched salvini humanitarian rescue ship operated ngo since ngo ship refused entry shocking move clear violation international national law italian coast guard unwilling intervene called help rescue immigrant refugee risk drowning libyan water
115,@@22756125,in-need,sg,"""Mr Tan noted that PSA has performed reasonably well against the challenging backdrop and tough competition . """" In addition , we are also preparing for a future where logistics and supply chain needs are transformed by new technology , trade , manufacturing and e-commerce dynamics , """" he said .""",0,0,mr tan noted psa performed reasonably well challenging backdrop tough competition addition also preparing future logistics supply chain need transformed new technology trade manufacturing ecommerce dynamic said
116,@@24205211,poor-families,sg,Sister Yosephina said human traffickers exploit poor families from rural areas by tricking them into thinking they are sending their daughters off to a better job and a better life .,0,0,sister yosephina said human trafficker exploit poor family rural area tricking thinking sending daughter better job better life
